0,1,2,3,4,5
QINGDAO,22.11.2025,4,Direct,SOLLERS,места есть
NINGBO,"14.11.2025
18.11.2025",4,Direct,SOLLERS,места есть
TIANJIN (XINGANG),11.11.2025,4,Direct,VMPP,места есть
GUANGZHOU (NANSHA),27.11.2025,9,Direct,VMPP,места есть
"Shenzhen (Yantian, SHEKOU)",23.11.2025,9,Direct,VMPP,места есть
XIAMEN,29.11.2025,9,Direct,VMPP,места есть
