0,1,2,3,4
Порт выгрузки,,Трансшипмент,20'DC SOC,40'HC SOC
,CHINA,,,
FOB Qingdao (Dagang),,direct,$ 550,$ 700
FOB Ningbo (Zhoushan),,,,
,JAPAN,,,
"FOB Nagoya / Tokyo /
Yokohama / Osaka",,Qingdao,$ 1 200,$ 1 700
,VIETNAM,,,
FOB Hochiminh,,Ningbo,$ 1 100,$ 1 500
FOB Haiphong,,,,
,THAILAND,,,
"FOB Laem Chabang /
Bangkok",,Ningbo,$ 1 150,$ 1 450
,INDIA,,,
FOB Nhava Sheva / Mundra,,Ningbo,$ 2 700,$ 3 500
FOB Chennai / Kalcutta,,,$ 2 800,$ 3 600
,INDONESIA,,,
"FOB Jakarta / Surabaya /
Semarang",,Ningbo,$ 1 200,$ 1 500
,SINGAPORE,,,
FOB Singapore,,Ningbo,$ 1 400,$ 1 900
,MALAYSIA,,,
FOB Port Klang,,Ningbo,$ 1 400,$ 1 900
,TAIWAN,,,
"FOB Kaohsiung / Taichung /
Keelung",,Ningbo,$ 1 200,$ 1 700
,PHILIPPINES,,,
FOB Manila,,Ningbo,$ 1 500,$ 2 600
,PAKISTAN,,,
FOB Karachi,,Ningbo,По запросу,По запросу
,BANGLADESH,,,
FOB Chittagong,,Ningbo,По запросу,По запросу
,UAE,,,
FOB Jebel ali,,Ningbo,По запросу,По запросу
