0,1,2,3,4,5,6,7,8,9,10,11
,Станция отправления,,,Станция назначения,,,20'DC,,,40'HC,
"Гайдамак (эксп.) / Угловая
(эксп.) / Находка (эксп.) /
Уссурийск (эксп.) / Мыс-
Чуркин (эксп.)",,,"Белый Раст, Купавна, Тучково,
Электроугли, Селятино",,,"5 738,88р.",,,"11 510,70р.",,
"Гайдамак (эксп.) / Угловая
(эксп.) / Находка (эксп.)/ Мыс-
Чуркин (эксп.)",,,Орехово-Зуево,,,"5 738,88р",,,"11 510,70р.",,
Уссурийск (эксп.),,,Орехово-Зуево,,,,"5 129,88р.",,,"10 273,62р.",
"Гайдамак (эксп.) / Уссурийск
(эксп.) / Угловая (эксп.) /
Находка (эксп.)/ Мыс-Чуркин
(эксп.)",,,Ховрино,,,,"6 340,34р.",,,"12 707,52р.",
,,,Заневский пост,,,,"6 340,34р.",,,"12 707,52р.",
,,,Звезда,,,,"4 556,70р.",,,"9 229,30р.",
"Гайдамак (эксп.) / Уссурийск
(эксп.) / Угловая (эксп.)/ Мыс-
Чуркин (эксп.)",,,Иня-Восточная,,,"3 717,34р.",,,"7 620,12р.",,
Находка (эксп.),,,,,,"3 997,94р.",,,"8 271,60р.",,
