0,1,2,3,4,5
ВМПП/SOLLERS,,МОСКВА,175 000 ₽,185 000 ₽,225000 ₽
ВМПП/SOLLERS,,ЕКАТЕРИНБУРГ,175 000 ₽,192 000 ₽,245000 ₽
ВМПП/SOLLERS,,НОВОСИБИРСК,142000 ₽,152 000 ₽,215000 ₽
ВМПП/SOLLERS,,САНКТ-ПЕТЕРБУРГ,173 000 ₽,215 000 ₽,275 000 ₽
,Ставка на ЖД фиксируется на момент отправки контейнера по ЖД (НДС – 0),,,,
,"Ставка применима для неопасного груза, весом не более 1500 кг/место, прошедшего
таможенное оформление в порту Владивостока.",,,,
,"При отправке по ЖД без доукрепления допускаются КТК, места в которых не превышают 1500
кг/место.",,,,
