0,1,2,3
Услуги,Ед.из.,20 фут/руб.,40 фут/руб.
Бесплатное хранение – 8 суток****,,,
Хранение с 9 по 24 сутки,1 ктк/сутки,"2 480,00","4 960,00"
Хранение с 25 суток,1 ктк/сутки,"5 355,00","10 710,00"
