0,1,2,3,4
Порт выгрузки,"20'DC SOC
empty","40'HC SOC
empty","20'DC SOC
laden","40'HC SOC
laden"
FOB Shanghai (Waigaoqiao),$ 600,$ 700,$ 700,$ 800
FOB Xingang(TCT),$ 600,$ 700,$ 700,$ 800
