0,1,2,3
Услуги,Ед.из.,20 фут/руб.,40 фут/руб.
Бесплатное хранение - 8 суток*,,,
Хранение с 9 по 16 сутки,1 ктк/сутки,"3 200,00","5 000,00"
Хранение с 17 по 23 сутки,1 ктк/сутки,"6 300,00","8 300,00"
Хранение с 24 суток и далее,1 ктк/сутки,"8 600,00","11 500,00"
