0,1
В СТАВКУ ВКЛЮЧЕНО:,В СТАВКУ НЕ ВКЛЮЧЕНО:
СКВОЗНОЙ СЕРВИС КИТАЙ – РОССИЯ,
Предоставление контейнера в порту отправления,Расходы в порту прибытия
,"(хранение, доп. услуги порта, МИДК,"
,"досмотр, взвешивание и пр.)"
Морская перевозка по указанному маршруту,Таможенное оформление
50 суток с момента выгрузки груза в порту,"Ставка за сверхнормативное использование
контейнера с 51-х суток, 20/40-28USD"
,Надбавка за опасный груз по морю
ПЕРЕВОЗКА С ТЕРМИНАЛА ПОРТА ДО ПУНКТА ПРИБЫТИЯ (ЖД),
