0,1,2,3,4
,PAKISTAN,,,
FOB Karachi,,Shanghai,По запросу,По запросу
,BANGLADESH,,,
FOB Chittagong,,Shanghai,По запросу,По запросу
,UAE,,,
FOB Jebel ali,,Shanghai,По запросу,По запросу
