0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Qingdao,SPB CTSP,Mohill Line,,/,,/,/,,/,3900,5000,8085,"2025/08/21 Lady
Doris 2502W",,Via Port Said East,,14 days,"FILO, include DTHC, sbj to doc, rls
100, 3rd kind of dthc"
Ningbo,,,,/,,/,/,,/,3900,5000,8085,"2025/08/23 Lady
Doris 2502W",,,,,
Nansha,,,,/,,/,/,,/,3900,5000,8085,"2025/08/26 Lady
Doris 2502W",,,,,
Qingdao,SPB PLP,OVP,,/,,/,/,,/,4305,5653,by request,"27-Aug CHANG
SHENG JI 8
V.2503W",,Direct(Suez),,14 days,"FILO, include Dthc, Sbj to doc, rls
100, 3rd kind of dthc"
Shanghai,,,,/,,/,/,,/,4305,5653,,"30-Aug CHANG
SHENG JI 8
V.2503W",,,,,
Ningbo,,,,/,,/,/,,/,4305,5653,,"01-Sep CHANG
SHENG JI 8
V.2503W",,,,,
Nansha,,,,/,,/,/,,/,4305,5653,,"04-Sep CHANG
SHENG JI 8
V.2503W",,,,,
Mundra,SPB PLP,M-LINE,,/,,/,/,,/,3800,5000,/,19-Aug,,Direct(Suez),,14 days,"FILO, Include DTHC, sbj to doc-usd
50, rls-usd 50, 3rd kind of dthc"
Nhava Sheva,SPB PLP,,,/,,/,/,,/,3800,5000,,17-Aug,,,,,
Jebel Ali,SPB PLP,,,/,,/,/,,/,4000,5600,,"13,23-Aug",,,,,
POL,POD,,Carrier,,"COC(FIFO)
20'GP | 40'HQ",,,,,ETD,,,,Direct or indirect,,Free Time,,
Taicang,Novorossiysk(NLE),,XHL,,3000,,,4100,,2025/08/24 XIN HE LU 2 2504W,,,,Direct,,14 days,,
Nansha,,,,,3000,,,4100,,2025/08/27 XIN HE LU 2 2504W,,,,,,,,
Ningbo/Qingdao,,,,,3000,,,4100,,Feeder,,,,Via Taicang,,,,
Nanjing/Tianjin,,,,,3150,,,4400,,Feeder,,,,Via Taicang,,,,
Bangkok,,,,,3300,,,4700,,Feeder,,,,Via Taicang,,,,
"Laem Chabang/Ho
Chiminh/Haiphong",,,,,3300,,,4700,,Feeder,,,,Via Taicang,,,,
"Port
Klang/Taiwan/Japan",,,,,3300,,,4700,,Feeder,,,,Via Taicang,,,,
Ningbo,Novorossiysk(NLE),,FESCO,,/,,,4150,,20-Aug,,,,Direct,,14 days,,
Qingdao,,,,,3505,,,4903,,27-Aug,,,,,,,,
Shanghai,,,,,3505,,,4903,,30-Aug,,,,,,,,
Ningbo,,,,,3505,,,4903,,1-Sep,,,,,,,,
