0,1
ДОПОЛНИТЕЛЬНАЯ УСЛУГА ПО РАСКРЕДИТАЦИИ и АВТОПЕРЕВОЗКЕ (растаможенного груза),
,
Москва и Московская область,55 000 руб. /любой контейнер
Санкт-Петербург и Лен. область,40 000 руб. /любой контейнер
"Екатеринбург, Новосибирск, Красноярск и область",50 000 руб. /любой контейнер
Владивосток и Артем (вкл. ПРР),38 000 руб. /любой контейнер
